,UniqueID,disbursed_amount,asset_cost,ltv,branch_id,supplier_id,manufacturer_id,Current_pincode_ID,Date.of.Birth,Employment.Type,DisbursalDate,State_ID,Employee_code_ID,MobileNo_Avl_Flag,Aadhar_flag,PAN_flag,VoterID_flag,Driving_flag,Passport_flag,PERFORM_CNS.SCORE,PERFORM_CNS.SCORE.DESCRIPTION,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,NO.OF_INQUIRIES,loan_default,riskcat
174038,479229,18530,47500,41.05,202,23913,45,775,25-09-82,Self employed,30-08-18,18,2365,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
30431,470543,34439,102970,34.96,11,24347,48,5969,1/1/1995,Self employed,28-08-18,3,625,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
59070,574207,40294,74046,56.05,67,22703,86,1429,1/1/1974,Salaried,13-10-18,6,1845,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
31451,473248,56259,69320,82.95,9,18062,86,5477,26-04-65,Self employed,29-08-18,3,1575,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
43347,450420,72817,115804,64.76,1,15804,48,6144,28-05-96,Self employed,20-08-18,3,1702,1,1,0,0,1,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
5696,497831,66169,102495,66.34,152,18295,51,5004,23-01-99,,10/9/2018,3,604,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
75014,434459,42894,65061,67.63,67,16605,120,1507,1/6/1992,Self employed,11/8/2018,6,914,1,1,0,0,0,0,749,C-Very Low Risk,4,3,0,17308,53759,53759,0,0,Low Risk
231408,486305,68823,97000,72.89,135,23003,49,1698,20-05-81,Salaried,31-08-18,4,1823,1,1,0,0,0,0,738,C-Very Low Risk,2,2,0,13440,57400,57400,0,1,Low Risk
162076,644336,74529,80605,94.29,15,14710,86,299,8/8/1991,Self employed,30-10-18,11,2153,1,1,0,0,0,0,771,B-Very Low Risk,3,3,0,22528760,23295698,23295698,0,0,Low Risk
136396,583237,53703,69221,79.46,20,14004,86,6161,10/3/1959,Salaried,16-10-18,5,1891,1,1,0,0,0,0,637,G-Low Risk,9,1,0,288347,300000,300000,0,0,Low Risk
53334,432879,37639,59410,65.98,85,17142,45,1937,1/1/1969,Salaried,11/8/2018,4,403,1,1,0,0,0,0,568,J-High Risk,3,2,1,18899,36555,36555,1,1,High Risk
179804,594666,51603,62500,85.0,67,16565,45,1513,28-11-72,Self employed,21-10-18,6,2589,1,1,0,0,0,0,738,C-Very Low Risk,1,1,0,4990,14970,14970,1,0,Low Risk
158212,526337,59342,69017,88.38,61,15919,45,1357,6/7/1979,Salaried,21-09-18,6,2208,1,1,0,0,0,0,681,E-Low Risk,4,1,0,18140,35000,35000,3,1,Low Risk
144689,514434,44745,62320,74.78,10,18471,48,5696,1/1/1990,Self employed,18-09-18,3,1831,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
98644,545466,56089,74809,78.2,1,22056,45,4948,6/6/1980,Self employed,28-09-18,3,1298,1,0,0,1,0,0,668,F-Low Risk,11,8,1,68159,153872,153872,0,0,Low Risk
194263,556211,61900,80667,79.34,14,24001,86,847,8/7/1992,Salaried,3/10/2018,15,2596,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
107447,498389,69167,95900,73.93,8,23501,51,5271,9/5/1979,Salaried,10/9/2018,3,250,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
42607,552325,45349,69120,66.55,165,21854,86,6495,18-04-94,Salaried,30-09-18,5,1466,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
77305,515018,55200,64383,88.53,63,16065,86,7088,1/1/1966,Self employed,18-09-18,10,1790,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
71566,557224,49349,68207,73.31,160,21773,86,82,14-06-93,Self employed,4/10/2018,1,692,1,1,0,0,0,0,825,A-Very Low Risk,2,0,0,0,0,0,0,1,Low Risk
129389,443282,54513,63597,88.84,162,15805,86,1908,21-08-91,Self employed,17-08-18,4,374,1,1,0,0,0,0,825,A-Very Low Risk,13,5,0,48421,140000,140000,1,0,Low Risk
144726,477796,40510,56450,74.93,10,18471,48,5706,16-04-97,Self employed,30-08-18,3,1831,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
162967,507369,52778,60307,89.87,153,21327,45,368,1/1/1981,Self employed,15-09-18,11,2146,1,1,0,0,0,0,825,A-Very Low Risk,3,0,0,0,0,0,0,1,Low Risk
9497,515716,54359,65600,84.91,67,18532,45,1449,3/4/1997,Salaried,18-09-18,6,628,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
142425,457050,38407,70184,58.18,36,18520,86,6777,3/5/1980,Salaried,22-08-18,13,1007,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
155238,420087,61985,96600,65.34,136,23547,51,3693,7/8/1971,Salaried,3/8/2018,8,2060,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
25353,585872,42794,71800,61.28,67,18166,86,1441,1/1/1990,Salaried,17-10-18,6,1547,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
215074,511090,51353,73436,74.9,5,14147,86,3366,3/6/1969,Salaried,16-09-18,9,2959,1,1,0,0,1,0,500,K-High Risk,36,15,1,6729530,7677600,7686314,3,0,High Risk
126159,417741,53803,65000,84.62,147,17467,86,2782,1/1/1977,Salaried,1/8/2018,2,1171,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
92367,468017,52200,67442,80.07,16,21980,86,3010,1/1/1980,Salaried,28-08-18,14,435,1,1,0,0,0,0,300,M-Very High Risk,5,3,2,461001,478500,478500,0,0,High Risk
61116,446195,49603,63591,80.67,147,17467,86,2790,2/12/1990,Self employed,18-08-18,2,332,1,1,0,0,0,0,300,M-Very High Risk,3,2,2,867527,897961,913432,0,1,High Risk
12585,572713,31371,68136,48.43,74,16646,86,2578,21-05-84,Self employed,12/10/2018,4,361,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
162559,461629,44460,68765,68.35,63,16065,86,7105,24-04-94,Salaried,24-08-18,10,2175,1,1,0,1,0,0,754,C-Very Low Risk,4,4,0,233805,298990,284054,0,1,Low Risk
183867,614820,40394,76438,54.95,42,23914,49,5202,6/7/1985,Self employed,24-10-18,3,2553,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
57066,421872,55013,69825,80.92,3,18029,86,36,20-03-73,Self employed,4/8/2018,1,1079,1,1,0,0,1,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
15335,558624,66382,106771,63.22,36,22535,49,6625,15-02-86,Salaried,5/10/2018,13,1044,1,0,1,1,0,0,663,F-Low Risk,1,1,0,87060,0,0,0,0,Low Risk
24428,470251,56613,68958,84.11,18,13971,86,2691,1/1/1983,Self employed,28-08-18,4,1502,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
56258,563604,59259,75980,78.97,16,21003,86,3009,1/1/1977,Self employed,8/10/2018,14,869,1,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
114380,518249,55259,64670,86.59,136,23894,45,3753,14-04-88,Salaried,19-09-18,8,203,1,1,0,0,0,0,825,A-Very Low Risk,7,3,0,48345,100000,100000,1,1,Low Risk
75644,433096,59547,68000,89.85,2,14975,86,1714,26-01-65,Self employed,11/8/2018,4,1215,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,1,0,No History
49187,519542,51803,68594,77.27,19,14375,86,1865,18-01-95,Salaried,19-09-18,4,704,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
34315,435967,44645,73400,63.35,152,15630,51,5130,19-07-88,Self employed,13-08-18,3,575,1,0,0,1,0,0,719,D-Very Low Risk,10,4,0,6348,83100,83100,0,0,Low Risk
104377,639427,56459,74684,80.34,3,14764,86,74,28-08-95,Salaried,30-10-18,1,1931,1,1,0,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,Low Risk
186966,642926,81458,151800,55.99,103,22879,49,7028,15-02-97,,30-10-18,7,2633,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
114412,623516,55259,73000,76.71,136,23894,45,3748,12/4/1977,Salaried,26-10-18,8,203,1,1,0,0,0,0,531,J-High Risk,1,1,0,7918,50000,50000,0,0,High Risk
28650,623830,61713,69653,89.73,34,22059,86,1003,31-12-83,Self employed,26-10-18,6,1768,1,1,0,0,0,0,15,Not Scored: Sufficient History Not Available,3,3,0,44209,58317,58317,0,1,Not Scored
138068,494565,57289,69595,84.78,5,17980,86,3394,20-11-95,Self employed,7/9/2018,9,1186,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
114510,428839,55759,63514,89.74,79,18169,86,766,5/2/1987,Self employed,9/8/2018,18,1753,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
199248,540711,54013,73000,76.71,103,24407,51,7005,16-10-96,Self employed,27-09-18,7,2811,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
200122,558856,66882,78162,88.28,2,23277,86,2381,6/10/1995,Salaried,5/10/2018,4,2676,1,1,0,0,0,0,710,D-Very Low Risk,2,2,0,11277,20853,20853,1,1,Low Risk
155590,534359,53303,67570,80.66,43,16103,45,3981,15-03-90,Self employed,25-09-18,8,2110,1,1,0,0,0,0,681,E-Low Risk,2,2,0,112470,112500,112500,0,0,Low Risk
11372,607064,62947,73611,86.94,16,18473,86,3000,1/1/1977,Self employed,23-10-18,14,346,1,1,0,0,0,0,615,H-Medium Risk,2,0,0,0,0,0,0,1,Medium Risk
18273,624539,57813,73711,81.13,85,17139,86,1933,28-08-77,Self employed,26-10-18,4,272,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
47620,563662,37439,93899,41.53,1,16763,51,6097,1/1/1981,Self employed,8/10/2018,3,1434,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
117098,493510,35841,67269,55.0,67,17901,45,1446,20-10-96,Salaried,6/9/2018,6,867,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
57059,464618,54519,71370,81.27,3,18029,86,36,3/7/1991,Salaried,25-08-18,1,1079,1,1,0,0,0,0,830,A-Very Low Risk,1,0,0,0,0,0,0,0,Low Risk
199180,652127,79033,108347,74.76,103,24444,51,6978,7/10/1986,Salaried,31-10-18,7,2811,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
135573,458315,57259,65000,89.23,5,13975,45,3418,25-02-70,Self employed,23-08-18,9,922,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,1,0,No History
179689,491938,30824,61042,54.06,104,22657,45,7059,23-12-71,Self employed,6/9/2018,10,2495,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
105480,625288,70123,106457,66.69,36,23071,48,6688,7/3/1994,Salaried,26-10-18,13,905,1,0,1,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
121037,553767,33939,64813,54.46,78,23549,49,2042,1/1/1982,Self employed,30-09-18,4,104,1,1,0,0,0,0,300,M-Very High Risk,18,4,2,113337,5163000,5163000,0,0,High Risk
91888,512836,40000,53700,78.21,147,17255,45,2782,24-07-80,Salaried,17-09-18,2,734,1,0,0,0,1,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
44717,480530,97090,148912,66.82,162,22943,49,1875,15-05-76,Self employed,31-08-18,4,999,1,1,0,0,0,0,300,M-Very High Risk,5,2,2,1031382,1085000,1085000,0,0,High Risk
172720,521428,45049,62852,73.19,97,22264,45,1137,1/2/1995,Self employed,20-09-18,6,2665,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
185522,423503,53303,77431,71.03,9,16120,86,5427,1/1/1989,Self employed,6/8/2018,3,3018,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
186922,584919,49478,63071,79.91,14,24002,51,821,1/1/1994,Salaried,17-10-18,15,2505,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
122051,634246,44909,64016,73.42,249,21674,45,2206,29-11-83,Self employed,28-10-18,4,264,1,1,0,0,0,0,14,Not Scored: Only a Guarantor,1,0,0,0,0,0,0,0,Not Scored
79809,534682,61947,98341,65.08,152,23414,51,5165,24-12-91,Self employed,25-09-18,3,75,1,1,0,0,0,0,763,B-Very Low Risk,1,1,0,4830,29000,29000,0,0,Low Risk
140049,453688,41794,66002,65.91,5,14145,86,3380,26-06-81,Salaried,21-08-18,9,326,1,1,0,0,0,0,836,A-Very Low Risk,1,0,0,0,0,0,0,0,Low Risk
32684,540930,30484,72199,44.32,68,21746,86,873,27-07-92,Salaried,27-09-18,6,1649,1,1,0,0,0,0,762,B-Very Low Risk,1,1,0,9084,46100,46100,0,0,Low Risk
224339,554008,63156,75549,84.99,82,18559,86,4890,1/1/1992,Self employed,30-09-18,19,3344,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
127963,484131,54859,67597,83.73,34,16310,86,978,27-09-71,Self employed,31-08-18,6,588,1,1,0,0,0,0,686,E-Low Risk,4,4,0,34781,77208,79102,0,0,Low Risk
55730,418748,47845,54883,89.65,15,22647,86,357,20-06-77,Self employed,1/8/2018,11,240,1,1,0,0,0,0,300,M-Very High Risk,6,6,1,238784,328528,328528,0,1,High Risk
157479,543803,60565,72500,84.99,2,22858,86,2371,1/6/1983,Self employed,28-09-18,4,2113,1,1,0,0,0,0,567,J-High Risk,1,1,1,130921,141000,141000,0,1,High Risk
36849,516181,42394,64501,68.22,29,15410,49,5904,30-06-87,Self employed,18-09-18,3,1733,1,1,0,0,0,0,738,C-Very Low Risk,2,1,0,21128,25000,25000,0,0,Low Risk
37435,616374,52578,79020,68.97,8,20619,45,5318,15-02-78,Salaried,25-10-18,3,761,1,1,0,1,0,0,706,D-Very Low Risk,2,1,0,506308,515000,515000,1,0,Low Risk
152981,554499,62647,83000,77.11,135,14791,86,1794,9/10/1996,Self employed,3/10/2018,4,2025,1,1,0,0,0,0,15,Not Scored: Sufficient History Not Available,2,2,1,254896,188861,188861,0,0,Not Scored
76888,583218,54259,71598,78.21,160,24019,45,603,1/7/1997,Salaried,16-10-18,15,720,1,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
42015,544634,47547,64061,77.89,19,23213,45,1895,20-08-93,Self employed,28-09-18,4,93,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
141739,516668,45349,57977,79.34,207,22463,45,892,5/8/1997,Salaried,19-09-18,6,1516,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
24134,566931,56259,75836,75.16,2,22917,86,1676,4/3/1977,Self employed,10/10/2018,4,1510,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
42712,564097,54459,72010,80.54,5,14347,86,3328,2/7/1967,Self employed,9/10/2018,9,489,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
134952,449127,38589,54035,74.03,13,23514,51,4616,16-11-82,Salaried,20-08-18,8,1503,1,1,0,0,0,0,18,Not Scored: No Updates available in last 36 months,3,0,0,0,0,0,0,0,Not Scored
208334,613561,54659,66160,84.64,67,18532,45,1509,1/1/1983,Salaried,24-10-18,6,2938,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
91152,436844,58513,66945,89.63,5,14178,86,3386,19-05-87,Self employed,13-08-18,9,1240,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
205626,592184,59647,73889,84.04,121,21043,86,3675,6/4/1979,Salaried,20-10-18,9,2861,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
12363,550106,58259,106019,56.59,20,22967,51,6245,10/8/1976,Self employed,29-09-18,5,1778,1,1,0,0,0,0,319,L-Very High Risk,1,1,1,32010,90000,90000,0,0,High Risk
42083,609048,53737,65235,86.0,19,23213,45,1905,12/9/1986,Self employed,23-10-18,4,93,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
167937,545200,54013,76983,72.09,251,18449,86,6837,12/1/1997,Self employed,28-09-18,13,2290,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
18015,502326,61313,89683,70.36,85,17139,86,1963,1/6/1986,Self employed,12/9/2018,4,1307,1,1,0,0,0,0,406,K-High Risk,1,1,1,326309,387860,387860,0,1,High Risk
147660,437842,47349,61700,79.42,160,23092,45,563,5/6/1986,Self employed,14-08-18,15,1343,1,1,1,0,0,0,300,M-Very High Risk,2,1,1,74560,52000,78910,1,0,High Risk
89494,560771,67792,88486,81.93,48,21958,86,6294,1/1/1982,Self employed,6/10/2018,5,1841,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
14612,542312,50683,68893,78.38,3,16092,51,31,20-12-89,Self employed,27-09-18,1,688,1,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
62526,464395,22574,45199,53.1,65,18136,51,6818,7/12/1987,Self employed,25-08-18,13,1478,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
12505,482634,57013,68317,86.36,74,16646,86,2578,5/5/1973,Self employed,31-08-18,4,361,1,1,0,0,0,0,825,A-Very Low Risk,2,0,0,0,0,0,0,0,Low Risk
188814,497888,45389,73124,65.64,11,24309,45,5945,1/1/1999,,10/9/2018,3,2672,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
125808,433167,62263,68498,93.43,5,17980,86,3363,30-12-91,Salaried,11/8/2018,9,1243,1,1,0,0,0,0,681,E-Low Risk,3,2,0,121618,135779,135779,0,0,Low Risk
232759,444201,51553,70233,79.73,78,16803,86,2071,27-05-81,Salaried,17-08-18,4,2622,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
100712,592098,65882,75521,88.72,162,14545,86,1824,3/11/1978,Self employed,20-10-18,4,1179,1,1,0,0,0,0,680,F-Low Risk,6,2,0,11147,15059,15059,3,0,Low Risk
200914,509012,47349,60375,81.16,207,24129,45,885,3/7/1987,Self employed,15-09-18,6,2728,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
107204,581513,53303,73924,74.4,103,24366,49,6990,8/8/1968,Salaried,16-10-18,7,725,1,1,1,0,0,0,532,J-High Risk,4,1,1,171630,240000,240000,0,1,High Risk
10822,454071,49349,69225,72.23,8,14854,45,5519,3/1/1968,Salaried,21-08-18,3,1618,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
127342,434784,59259,67000,89.55,2,24028,86,1646,12/3/1996,Salaried,12/8/2018,4,1302,1,1,0,0,0,0,15,Not Scored: Sufficient History Not Available,1,1,0,10365,10365,10365,1,1,Not Scored
27421,522513,49203,63650,79.97,68,16609,45,859,1/6/1986,Self employed,20-09-18,6,448,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
219819,564653,32484,44841,73.59,48,24140,51,6362,22-07-95,Self employed,9/10/2018,5,3288,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
17876,644042,74079,103532,73.41,146,13988,48,2981,1/1/1987,Self employed,30-10-18,14,400,1,1,0,0,0,0,726,D-Very Low Risk,11,2,0,16142,26750,26750,0,1,Low Risk
118047,443988,53578,66000,83.33,248,23540,86,1754,15-01-90,Salaried,17-08-18,4,1451,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
158652,621294,60947,78283,80.48,255,23415,45,5846,15-07-90,Self employed,25-10-18,3,2084,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
117357,570233,47605,72325,67.0,36,18459,86,6646,20-09-84,Self employed,11/10/2018,13,552,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
36656,468330,28472,91941,33.28,65,16166,48,6815,15-06-90,Self employed,28-08-18,13,771,1,0,1,1,0,0,560,J-High Risk,2,2,1,548654,1137000,1137000,0,0,High Risk
223235,585842,56359,72286,83.0,138,18089,86,3327,11/8/1965,Salaried,17-10-18,9,3308,1,1,0,0,0,0,438,K-High Risk,6,5,2,585163,884789,884789,0,0,High Risk
191509,440502,56813,66996,89.56,79,21445,86,768,1/10/1994,Salaried,16-08-18,18,2499,1,1,0,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,Low Risk
56501,561625,54303,69359,79.3,16,21003,86,2956,4/11/1998,,8/10/2018,14,396,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
173630,551522,42014,80850,54.42,138,13941,51,3308,27-03-83,Salaried,30-09-18,9,2331,1,0,1,1,0,0,619,H-Medium Risk,6,3,0,948463,1139695,1129182,0,0,Medium Risk
131769,430626,51803,66300,79.94,5,14347,86,3349,20-09-68,Self employed,10/8/2018,9,278,1,1,0,0,0,0,825,A-Very Low Risk,2,0,0,0,0,0,0,0,Low Risk
107932,559947,56200,67165,84.87,72,16676,86,475,1/1/1997,Self employed,6/10/2018,11,584,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
151408,501228,62947,101150,64.26,10,24187,49,5695,5/4/1994,Self employed,12/9/2018,3,2029,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
164121,446815,60947,70066,89.92,17,15047,86,3253,1/10/1983,Self employed,18-08-18,17,2220,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,1,0,No History
210480,511193,52078,61880,87.27,105,15792,45,1210,20-07-83,Self employed,16-09-18,6,2891,1,1,0,0,0,0,681,E-Low Risk,3,3,0,38048,66000,66000,0,0,Low Risk
94317,578602,191392,254177,77.9,160,22417,51,85,12/10/1987,Self employed,15-10-18,1,685,1,1,0,0,0,0,738,C-Very Low Risk,1,1,0,8450,15350,15350,0,1,Low Risk
223895,550091,35439,64483,57.38,136,22568,45,3759,16-02-79,Salaried,29-09-18,8,3296,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
153100,507376,57259,71500,81.12,146,15694,86,3044,1/1/1968,Self employed,15-09-18,17,2108,1,1,0,0,0,0,18,Not Scored: No Updates available in last 36 months,2,0,0,0,0,0,0,0,Not Scored
89363,614684,46249,67645,70.22,67,18129,45,1511,22-02-80,Salaried,24-10-18,6,252,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
33580,566324,53393,79258,70.66,120,20512,45,6929,1/1/1985,Self employed,10/10/2018,12,184,1,1,0,0,0,0,584,I-Medium Risk,1,1,0,0,40000,40000,0,0,Medium Risk
196695,548644,36179,51439,73.87,138,14292,48,3386,14-05-94,Self employed,29-09-18,9,2684,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
73594,502100,71817,108394,68.27,1,20538,120,4966,1/1/1992,Salaried,12/9/2018,3,1581,1,1,0,0,0,0,716,D-Very Low Risk,2,2,0,303413,460000,363254,0,0,Low Risk
83399,652440,63837,77006,85.0,13,18486,86,4669,7/10/1970,Salaried,31-10-18,8,1297,1,1,0,0,0,0,554,J-High Risk,3,2,1,857942,1584560,1584560,0,0,High Risk
14669,476018,47349,72677,67.42,1,17916,86,4943,4/4/1982,Self employed,30-08-18,3,1508,1,0,0,1,0,0,645,G-Low Risk,3,1,1,1752,31000,5030,0,0,Low Risk
93125,547681,62347,75357,84.93,18,14115,86,2694,11/4/1996,Self employed,29-09-18,4,208,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,1,0,No History
217517,517790,47447,76170,68.27,7,18674,45,5805,15-08-96,Self employed,19-09-18,3,3097,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
167603,465789,95490,153175,65.28,258,24113,67,154,5/6/1993,Salaried,26-08-18,16,2265,1,1,0,0,0,0,460,K-High Risk,3,1,1,394414,351345,351345,1,0,High Risk
199136,613775,58759,84840,70.72,9,16120,86,5462,10/4/1989,Self employed,24-10-18,3,2756,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
28598,424807,54613,62993,89.85,2,18450,86,1724,31-05-88,Salaried,7/8/2018,4,12,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
197001,474034,66669,93369,72.83,103,23136,51,7186,13-02-82,Self employed,29-08-18,7,2885,1,1,0,0,0,0,616,H-Medium Risk,3,2,0,250281,375000,375000,0,0,Medium Risk
225964,534673,38239,58570,66.59,136,24159,51,3702,9/1/1956,Self employed,25-09-18,8,3436,1,1,0,0,0,0,608,H-Medium Risk,32,8,0,1299911,1618292,1618292,0,0,Medium Risk
222983,549951,53403,120646,45.59,138,24045,48,4383,29-08-96,Self employed,29-09-18,8,3485,1,1,0,0,0,0,571,I-Medium Risk,1,1,1,73882,87186,87186,0,1,Medium Risk
212071,600883,78001,110700,72.27,74,16846,45,2594,1/1/1984,Salaried,22-10-18,4,3113,1,1,0,0,0,0,582,I-Medium Risk,1,1,0,15930,56223,56223,0,0,Medium Risk
117340,527062,69563,117627,61.81,36,21251,48,6643,28-03-63,Self employed,21-09-18,13,552,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
201433,520443,46849,68610,69.96,14,23995,45,825,1/1/1989,Salaried,20-09-18,15,2774,1,1,0,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,Low Risk
8872,513845,53803,66089,83.22,67,16694,86,1515,1/1/1986,Salaried,18-09-18,6,738,1,1,0,0,0,0,774,B-Very Low Risk,2,1,0,800,28200,28200,0,0,Low Risk
167570,479125,49803,67626,75.41,258,24311,120,141,1/1/1982,Salaried,30-08-18,16,2265,1,1,0,0,0,0,688,E-Low Risk,3,3,0,109964,320000,289960,0,0,Low Risk
176606,610938,33146,70642,48.33,35,24699,49,4401,22-10-80,Salaried,24-10-18,8,2426,1,1,0,0,0,0,710,D-Very Low Risk,3,1,0,99000,99000,99000,0,1,Low Risk
18098,425606,79186,147500,55.25,2,22430,49,2378,1/6/1970,Salaried,7/8/2018,4,1500,1,1,0,0,0,0,737,C-Very Low Risk,1,1,0,38437,48699,48699,0,0,Low Risk
161663,462357,30682,90348,35.64,34,18758,48,1019,12/10/1992,Self employed,24-08-18,6,2198,1,1,0,0,0,0,835,A-Very Low Risk,6,4,0,842741,1102426,930022,0,0,Low Risk
189809,507237,56259,106280,54.57,11,23868,49,5944,1/1/1995,Self employed,14-09-18,3,2653,1,1,0,0,0,0,836,A-Very Low Risk,1,0,0,0,0,0,0,0,Low Risk
45058,486985,56259,68144,83.65,146,15694,86,3000,9/2/1991,Salaried,3/9/2018,14,594,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
