,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
106933,Chile,"Leafy, slightly damp aromas include notes of spiced plum and herbs. On the palate, this is fairly stocky and chewy. A mixture of berry, spice and peppery flavors finishes with perceptible spicy oak.",,87,14.0,Casablanca Valley,,,Michael Schachner,@wineschach,Ritual 2015 Merlot (Casablanca Valley),Merlot,Ritual
101765,US,"From both Sun Chase and Gap's Crown vineyards, two stellar sites that neighbor one another, this is a medium-bodied expression of high-toned pomegranate and cherry. It unleashes big, soft waves of intense flavor and texture expansively and with panache.",,91,65.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Guarachi Family 2014 Pinot Noir (Sonoma Coast),Pinot Noir,Guarachi Family
64104,Spain,"Ripe, easy aromas of dried cherry, raisin and cedary spice are not unfamiliar for aged, traditional Rioja like this. The palate is fresh in feel, with a touch of oak resin impacting the mouthfeel. Common flavors of cherry, plum and spice finish with cocoa, dill, vanilla and tomato notes. This is a classic Gran Reserva to drink through 2024.",Rioja Bordón Gran Reserva,91,24.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Bodegas Franco-Españolas 2006 Rioja Bordón Gran Reserva  (Rioja),Tempranillo Blend,Bodegas Franco-Españolas
127996,US,"Very deeply flavored, with fine, ripe blackberry, black currant and cedar flavors, anchored with an earthy minerality. The finish is thoroughly dry. Yet it's also a very tannic wine, with a bracing, but fierce, mouthfeel that suggests time in the cellar. Better after 2013.",Napa Reserve,92,50.0,California,Napa Valley,Napa,,,White Oak 2007 Napa Reserve Red (Napa Valley),Bordeaux-style Red Blend,White Oak
116869,US,"Superrich in pears, pineapples and green apples, and oaky, with butterscotch, buttered toast and buttered popcorn flavors. Massive and direct, but balanced with crisp acidity. Drink now.",Dutton Ranch Kyndall's Reserve,88,36.0,California,Russian River Valley,Sonoma,,,Dutton Estate 2007 Dutton Ranch Kyndall's Reserve Chardonnay (Russian River Valley),Chardonnay,Dutton Estate
1879,France,"A wine that continues the impressive rise of du Tertre. It is becoming one of the sure values of Margaux, and this 2009 is both ripe and finely balanced. The acidity boosts the rich fruits, sweet tannins and the warm finish.",,93,47.0,Bordeaux,Margaux,,Roger Voss,@vossroger,Château du Tertre 2009  Margaux,Bordeaux-style Red Blend,Château du Tertre
102153,Chile,"Burnt and herbal plum and berry aromas are just good enough. This feels clampy due to hard tannins. Medicinal plum and cherry flavors come with a forced-oak element, while this is dry and tannic on a hollow finish.",Expedicion,84,12.0,Maule Valley,,,Michael Schachner,@wineschach,Finca Patagonia 2015 Expedicion Merlot (Maule Valley),Merlot,Finca Patagonia
30141,US,"This is a rewarding wine, with flavors of orange and pineapple. It finishes with a honeyed minerality.",,87,17.0,California,Central Coast,Central Coast,,,Wild Horse 2010 Chardonnay (Central Coast),Chardonnay,Wild Horse
85304,US,"Harbes' standard-label Merlot offers a plusher, more voluptuous expression of sun-kissed berries and cherries. Rich in body and textures, it's warmed by hints of Graham cracker and cinnamon and soft feathery tannins. Sunny cranberry acidity brightens the finish. Drink now through 2021 to enjoy its fruity forward nature.",,90,28.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Harbes Family Vineyard 2014 Merlot (North Fork of Long Island),Merlot,Harbes Family Vineyard
39368,US,"The nose of this bottling is both floral and savory, blending roasted beef with lilacs and a creamy boysenberry mousse. The palate is cohesive and pleasant, with dark berries, a touch of roasted game and more purple-flower petals, carried by a persistent acidity.",Chapel G,91,48.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Zaca Mesa 2014 Chapel G Syrah (Santa Ynez Valley),Syrah,Zaca Mesa
126992,France,"The small village of Chânes lies in the south of the appellation, well exposed to the sun. That shows in this warm wine with its ripe apple and pear flavor. Wood aging adds richness, filling out the rich fruits with toast. This generous wine will age another year. Drink from 2017.",Vers Chânes Vieilles Vignes,93,43.0,Burgundy,Pouilly-Fuissé,,Roger Voss,@vossroger,Rijckaert 2014 Vers Chânes Vieilles Vignes  (Pouilly-Fuissé),Chardonnay,Rijckaert
89,Italy,"Made primarily from Sangiovese, with some Malvasia and other white grapes, this offers aromas of red berry and a yeasty whiff of bread dough. The bright, enjoyable palate offers ripe cherry and hint of pastry cream while a note of honeydew melon marks the close.",,88,19.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Fattoria Sardi 2015 Rosato (Toscana),Rosato,Fattoria Sardi
87499,Italy,"This presents aromas of ripe black fruit—just shy of overripe—and bitter almond. The palate shows black cherry, baked plum and cinnamon flavors. While it's simply structured and a little shy on fresh acidity, it's still very enjoyable thanks to the generous fruit.",,87,18.0,Veneto,Valpolicella Ripasso,,Kerin O’Keefe,@kerinokeefe,Monte Zovo 2011  Valpolicella Ripasso,Red Blend,Monte Zovo
49550,US,"This is one of the few Zinfandels with a Rutherford appellation. It's quite a good wine, deliciously easy to drink with its creamy texture and dry, soft flavors of blackberries, currants, chocolate and licorice, made all the more zesty with peppery spices. Great job by veteran winemaker Scott McLeod. From Francis Ford Coppola and Rubicon.",,91,45.0,California,Rutherford,Napa,,,Edizione Pennino 2006 Zinfandel (Rutherford),Zinfandel,Edizione Pennino
56480,France,This single-vineyard wine is structured and dense. Powerful tannins come both from fruit and from wood aging. Underneath the black cherry fruit and fresh acidity are developing. Drink this complex wine from 2016.,La Roche,93,43.0,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Château des Jacques 2012 La Roche  (Moulin-à-Vent),Gamay,Château des Jacques
5957,France,"On the lean side for a 2009 Bordeaux, this brings out a dry, tannic character, just softened with sweet black currant juice. There is stalky acidity on the finish.",,84,,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château Bellevue 2009  Bordeaux,Bordeaux-style Red Blend,Château Bellevue
42147,France,"A delicious wine, very ripe while having great style. It packs concentrated red berry fruits into a textured package that shows acidity, vanilla and final spice.",Secret de Léoube,91,32.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Château Léoube 2010 Secret de Léoube Rosé (Côtes de Provence),Rosé,Château Léoube
38273,Germany,"Foresty whiffs of pine needles meld with ripe yellow peach and cherry notes on the nose of this powerful, dry Riesling. It's full-bodied in style, with a rich, textured creaminess that's honed by a steely minerality that shines on the finish.",Wormser Liebfrauenstift-Kirchenstück Trocken,90,34.0,Rheinhessen,,,Anna Lee C. Iijima,,Weingut Liebfrauenstift 2011 Wormser Liebfrauenstift-Kirchenstück Trocken Riesling (Rheinhessen),Riesling,Weingut Liebfrauenstift
10293,US,"With its dry earthiness, this is classic Jordan. It shows blackberry and black cherry flavors, with an herb note. The tannins are gentle. It will age for years, softening and gaining earthy complexities.",,88,52.0,California,Alexander Valley,Sonoma,,,Jordan 2008 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Jordan
104602,US,"Notes of cider, sweat and Chinese five spice give this wine an intriguing edge. Medium-full in weight, it has soft lines, plenty of flesh and a succulent finish.",V°,85,20.0,Colorado,Grand Valley,,,,Garfield Estates 2012 V° Viognier (Grand Valley),Viognier,Garfield Estates
90646,Italy,"Made with dried Graganega grapes, this opens with aromas of pressed wild flower, white and yellow stone fruit. The palate doles out ripe peach, dried apricot and acacia honey. It closes on a toasted almond note.",Arzimo,89,22.0,Veneto,Recioto di Soave,,Kerin O’Keefe,@kerinokeefe,La Cappuccina 2011 Arzimo  (Recioto di Soave),Garganega,La Cappuccina
695,Italy,"Aromas of violet, iris, forest floor, woodland berry and allspice lead the nose on this structured, savory wine. The concentrated palate delivers ripe black cherry, mocha, clove, tobacco and licorice alongside velvety tannins and fresh acidity. It's firm and well balanced.",Riserva Ducale Oro Gran Selezione,91,43.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Ruffino 2010 Riserva Ducale Oro Gran Selezione  (Chianti Classico),Red Blend,Ruffino
11339,Austria,"Perfumed hints of mandarin and stone fruit are subtly expressed on the nose. The palate is more incisive with fresh lemon zest and a feather-light body which holds fresh sprays of lemony citrus. Light but pleasingly intense, notions of stone mingle with all the lime, lemon and mandarin peel. Beautifully long.",Singerriedl Smaragd,93,95.0,Wachau,,,Anne Krebiehl MW,@AnneInVino,Franz Hirtzberger 2014 Singerriedl Smaragd Riesling (Wachau),Riesling,Franz Hirtzberger
31192,Italy,"Violet, dark-skinned berry, toasted oak and sweet baking spice aromas float out of the glass. The full-bodied palate doles out mature blackberry, black currant, sage, green pepper and oak-driven spice framed in fine-grained tannins.",Pomorosso,90,80.0,Piedmont,Barbera d'Asti,,Kerin O’Keefe,@kerinokeefe,Coppo 2012 Pomorosso  (Barbera d'Asti),Barbera,Coppo
93780,Austria,A terroir-driven wine from poor soil in one of the great Wachau vineyards. It's possible to taste the stone and the steely character from the green fruit. This is a wine that needs aging; don't drink before 2013.,Weissenkirchner Achleiten Smaragd,94,67.0,Wachau,,,Roger Voss,@vossroger,Rudi Pichler 2006 Weissenkirchner Achleiten Smaragd Riesling (Wachau),Riesling,Rudi Pichler
65255,Italy,"Hints of mint, cedar and blue flower add depth to the black cherry aromas on this blend of 45% Montepulciano, 45% Sangiovese and 10% Cabernet Sauvignon. Juicy fruit flavors carry over to fresh and accessible palate. Not for cellaring; enjoy now.",Rosso Bello,86,14.0,Central Italy,Rosso Piceno,,Kerin O’Keefe,@kerinokeefe,Le Caniette 2010 Rosso Bello  (Rosso Piceno),Red Blend,Le Caniette
30970,Argentina,"More syrupy and chunky than ideal, but still a good wine with grilled meat, root beer and berry extract on the bouquet. The body seems a little baked and heavy, with molasses and raisin flavors mixing with blackberry. Finishes with melted brown sugar and soft tannins. A full, deep wine that shows a few signs of being overripe.",Afincado Las Compuertas Vineyard,87,45.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Terrazas de Los Andes 2004 Afincado Las Compuertas Vineyard Malbec (Mendoza),Malbec,Terrazas de Los Andes
4544,US,"Earthy and very tight after aging 20 months in barrel and another two years in bottle prior to release, this wine's fruit is slipping away, leaving behind only a pruney sourness.",Westside Vineyard,81,25.0,California,Amador County,Sierra Foothills,Virginie Boone,@vboone,Amador Cellars 2006 Westside Vineyard Zinfandel (Amador County),Zinfandel,Amador Cellars
68937,Austria,Soft hints of yellow mirabelle plum give way to richer notions of yeast. The palate is fresh and precise and delivers some spicy hints along citrus freshness. The finish is peppery and moreish.,Johannesbergen,89,20.0,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,Weingut Frank 2015 Johannesbergen Grüner Veltliner (Niederösterreich),Grüner Veltliner,Weingut Frank
102391,Chile,"Saline and basic citrus aromas feed into a fresh, light-bodied palate with citrus, lettuce and minerally flavors. A modest, firm finish is light but clean. This epitomizes the good qualities of value-priced Chilean SB.",Classic Collection,86,10.0,Curicó Valley,,,Michael Schachner,@wineschach,Echeverria 2013 Classic Collection Sauvignon Blanc (Curicó Valley),Sauvignon Blanc,Echeverria
81790,Italy,"A blend of Trebbiano, Sangiovese and Malvasia, this holds aromas of maple syrup, walnut and dried stone fruit. The syrupy, low-acid palate doles out acacia honey and pastry crust.",Principe di Renieri,87,,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Renieri 2003 Principe di Renieri Red (Toscana),Red Blend,Renieri
34748,US,"This Pinot is joyous in fresh berry fruit aromas and flavors, from wild strawberry to taut cherry, the fruit buoyed by lush, velvety tannins and generous acidity. Pretty on the nose and tongue, it discloses a trace of vanilla on the clean, distinct finish.",Appian Way Vineyards,92,39.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Joseph Jewell 2011 Appian Way Vineyards Pinot Noir (Russian River Valley),Pinot Noir,Joseph Jewell
108476,Austria,"Tight but gently touched with ripe apple, lime and grapefruit, this wine is refreshing now, although it is still too closed to show its fuller fruits. This will flesh out with time but the wine will always be among the slender, invigorating Rieslings with a precise touch of minerality.",Steiner Kögl Reserve,94,55.0,Kremstal,,,Anne Krebiehl MW,@AnneInVino,Salomon-Undhof 2012 Steiner Kögl Reserve Riesling (Kremstal),Riesling,Salomon-Undhof
107911,Argentina,"Rich aromas of molasses, chocolate and fig paste announce a ripe, thick Malbec-Cabernet Sauvignon blend. On the palate, this is grabby, intense and oaky. Flavors of oak grain, graphite, chocolate and berry fruits finish saturated and heavy, lacking elegance.",Limited Release,90,25.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Mi Terruño 2011 Limited Release Malbec-Cabernet Sauvignon (Mendoza),Malbec-Cabernet Sauvignon,Mi Terruño
20867,Argentina,"Citrus and stone-fruit aromas struggle to hold up, while the palate on this blend of 75% Pinot Noir and 25% Chardonnay is solid but soft. Flavors of apple cider, peach juice and yeasty bread shift to powdered sugar and white table grapes on the finish.",Cuvée Réserve Extra Brut,86,23.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Cruzat NV Cuvée Réserve Extra Brut  (Mendoza),Champagne Blend,Cruzat
88247,France,"A blend of 75% Merlot with 25% Cabernet Franc, the wine has richness. It also has the firm dry tannins that are typical of the vintage. It is dry and solid with its black-currant fruits still developing. It needs to age further, so wait until 2018.",,89,40.0,Bordeaux,Lalande de Pomerol,,Roger Voss,@vossroger,Château Bourseau 2011  Lalande de Pomerol,Bordeaux-style Red Blend,Château Bourseau
74058,US,"A beautiful aroma like violets, cedar, light oak smoke and black cherry wafts from this deeply colored wine. It brings ripe fruit flavors and a hint of toasted oak to the palate, filling the mouth with juicy black cherry, cassis and blueberry. Touches of dark chocolate are bolstered by ample layers of fine-grained tannins. This is a full-bodied, lightly sweet and elegantly balanced wine to drink now through 2022.",,92,55.0,California,California,California Other,Jim Gordon,@gordone_cellars,Cuttings 2013 Cabernet Sauvignon (California),Cabernet Sauvignon,Cuttings
70640,France,"Soft, attractively fresh, but simple, this shows lively apple and cream flavors, rounded by light tannins. It's pleasant, but it does need to fill out.",Domaine de la Moutonnière,86,12.0,Loire Valley,Muscadet Sèvre et Maine,,Roger Voss,@vossroger,Guilbaud Frères 2007 Domaine de la Moutonnière  (Muscadet Sèvre et Maine),Melon,Guilbaud Frères
66078,France,"Rich and fruity, this bold Pinot offers upfront aromas of juicy red plum, raspberry and strawberry, all laced with a touch of vanilla. The palate is lightly plush and velvety, with flavors of muddled cherry and raspberry sauce that carry through to the medium-length finish.",,87,,France Other,Vin de France,,Lauren Buzzeo,@laurbuzz,Le Jardin d'Eolie NV Pinot Noir (Vin de France),Pinot Noir,Le Jardin d'Eolie
29304,Spain,"Tan in color and in the early stages of fading, this smells reserved, with aromas of turpentine, popcorn and bread. Rubbery and slightly pinched in feel, this tastes briny, nutty and melony, with plenty of oak in support. A lighlty oaked finish is short in length and complexity. Drink now.",Nelin,89,55.0,Catalonia,Priorat,,Michael Schachner,@wineschach,Clos Mogador 2011 Nelin White (Priorat),White Blend,Clos Mogador
38366,Italy,"Crushed tomato vine, yellow stone fruit and honeydew melon aromas almost jump out of the glass. The ripe medium-bodied palate gives creamy peach and juicy apricot while notes of aromatic herb accent the finish.",,90,28.0,Northeastern Italy,Collio,,Kerin O’Keefe,@kerinokeefe,Russiz Superiore 2015 Sauvignon (Collio),Sauvignon,Russiz Superiore
75759,US,"Sweet and simple in vanilla custard and buttered popcorn flavors, with a blast of pineapple jam. If you like fruity sweetness, it's for you.",Chamisal Vineyards,85,24.0,California,Edna Valley,Central Coast,,,Domaine Alfred 2007 Chamisal Vineyards Chardonnay (Edna Valley),Chardonnay,Domaine Alfred
101047,France,"This is rather fresh in style for a 2009 from the Southern Rhône, with bold cherry and chocolate notes, reasonably crisp acids and softly dusty tannins. That said, it's a mouth-filling wine, but one that's harmonious and easy to drink.",,89,35.0,Rhône Valley,Châteauneuf-du-Pape,,Joe Czerwinski,@JoeCz,J.V. Fleury 2009 Red (Châteauneuf-du-Pape),Rhône-style Red Blend,J.V. Fleury
73484,France,"A pure startling cherry note rises from the glass. It is flanked by notes of autumn forest, tar and dried orange rind. Evidently, there is some development and evolution here. The palate is alive and fills not only the mouth but all the senses with its alluring aromas, yet it is firmly anchored in earthier tones. The body is svelte and fresh: its fine-boned structure is as much down to fresh acidity as it is to finely flexed tannins. This is profound, lasting and delicious but also deliciously light.",Grossi Laüe Limited Edition,94,55.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Hugel 2011 Grossi Laüe Limited Edition Pinot Noir (Alsace),Pinot Noir,Hugel
16573,US,"This is a juicy, perfect melding of citrus and light tropical fruit flavors. With impeccable balance and poise, this thrilling, entirely stainless-steel-fermented Viognier persists well onto the graceful finish.",Defiance Vineyard,92,19.0,Washington,Lake Chelan,Columbia Valley,Paul Gregutt,@paulgwine ,Nefarious 2011 Defiance Vineyard Viognier (Lake Chelan),Viognier,Nefarious
111613,US,"Very acidic, giving the ripe tropical fruit and green pea flavors an almost sparkling spritziness. But very rich and flamboyant and complex. This wine was tasted at just about a year of age, and should calm down by summer 2012.",Clone 76 Inox,90,36.0,California,Sta. Rita Hills,Central Coast,,,Melville 2010 Clone 76 Inox Chardonnay (Sta. Rita Hills),Chardonnay,Melville
12925,France,"The bishop's (Evêque) vineyard has produced a stylish, full-flavored wine, densely packed with black cherry, ripe tannins and a juicy, fruity character. It is a dense wine with tannins that promise good aging. Drink from 2016.",Château de Chamirey Clos l'Evêque Premier Cru,91,,Burgundy,Mercurey,,Roger Voss,@vossroger,Domaines Devillard 2011 Château de Chamirey Clos l'Evêque Premier Cru  (Mercurey),Pinot Noir,Domaines Devillard
70011,France,"Packed with dark tannins, this complex wine shows a powerful structure allied with very fresh acidity and red berry fruits. It is still feeling its way, heavy on the texture and still waiting for the fruit. Drink from 2014.",,87,20.0,Bordeaux,Graves,,Roger Voss,@vossroger,Château le Bonnat 2010  Graves,Bordeaux-style Red Blend,Château le Bonnat
2214,France,"With a good structure, this is a solid wine from a small vineyard. It is dense with tannins as well as dark berry fruits and fresh acidity at the end. The wine will age well over the next few years, so drink from 2017.",Les Champs Claude,88,,Burgundy,Santenay,,Roger Voss,@vossroger,Henri de Villamont 2012 Les Champs Claude  (Santenay),Pinot Noir,Henri de Villamont
21512,Italy,"Beautifully intense and elegant, this opens with fine aromas of spice, dried fruit, cola, tar and ground licorice. It delivers a long, silky sensation in the mouth.",Vigneto Cerequio,92,,Piedmont,Barolo,,,,Beni di Batasiolo 2006 Vigneto Cerequio  (Barolo),Nebbiolo,Beni di Batasiolo
49039,Italy,"Made with 40% Sangiovese, 40% Cabernet Sauvignon and 20% Syrah, this has a subdued nose that eventually reveals black-skinned fruit and baking spice aromas. The simple but enjoyable palate delivers black cherry and clove with round tannins. Enjoy soon.",Tigliano,87,,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Poggio Nicchiaia 2015 Tigliano Red (Toscana),Red Blend,Poggio Nicchiaia
67575,South Africa,"Herbal and fruity all at once with clean aromas of gooseberry, hard mango and green grass. Ctirus flavors dominate the lightweight mouth with crisp lime acidity charging through on the close.",Sunbird,86,14.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Simonsig 2010 Sunbird Sauvignon Blanc (Stellenbosch),Sauvignon Blanc,Simonsig
48713,US,"The color of this full-bodied wine is deep red and aromas are dense with dark fruit like black plum and blueberry, accented with earthy nuances. The mouthfeel is rich and almost thick, as firm but fine-textured tannins coat the tongue and concentrated flavors of dark chocolate and blueberry soak through. This should improve through at least 2020.",Nicholas' Vineyard,91,48.0,California,Fair Play,Sierra Foothills,Jim Gordon,@gordone_cellars,Baiocchi Wines 2011 Nicholas' Vineyard Syrah (Fair Play),Syrah,Baiocchi Wines
95925,Italy,"This offers aromas that recall acacia honey, pressed flower and beeswax. The mature, evolved palate shows candied citrus zest, toasted nut and bread crust while a mineral note closes the finish.",Marnà,87,25.0,Northeastern Italy,Collio,,Kerin O’Keefe,@kerinokeefe,Ca'Ronesca 2010 Marnà Pinot Bianco (Collio),Pinot Bianco,Ca'Ronesca
88254,Spain,"Lightly roasted, earthy and slightly nutty up front, this smells of buttery oak along with plum and cherry. Sinewy and firm in the mouth, this tastes of vanilla, buttered popcorn, plum and red-berry fruits. A solid finish with ripping tannins keeps this firm. Drink through 2019.",II Reserva,89,21.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Covila 2009 II Reserva  (Rioja),Tempranillo,Covila
62966,Italy,We can now enjoy a lively little group of Sicilian producers who also make metodo classico sparkling wine. This expression from the Carricante grape shows dry fruit and mineral notes with background tones of fresh baked bread and dried hay.,Brut,88,36.0,Sicily & Sardinia,Sicilia,,,,Planeta NV Brut Carricante (Sicilia),Carricante,Planeta
106690,US,"With its inviting apple blossom aromas, this wine is fleshy and bright, showing balance and complexity from start to lengthy finish. Lemongrass, nutmeg and wild vanilla flavors tease in the background.",Buena Tierra Vineyard,90,45.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Sleeping Giant 2014 Buena Tierra Vineyard Chardonnay (Russian River Valley),Chardonnay,Sleeping Giant
103946,Italy,"Aromas of wet leaves, toast, prune and espresso lead the nose. The evolved palate offers fig, coffee bean, a hint of anise and a confectionary note alongside fleeting tannins. It's a bit muddled, with a short finish.",Rosso delle Rose,86,15.0,Sicily & Sardinia,Sicilia,,Kerin O’Keefe,@kerinokeefe,Masseria del Feudo 2013 Rosso delle Rose Nero d'Avola (Sicilia),Nero d'Avola,Masseria del Feudo
58955,Austria,"A wood-aged blend of Pinot Noir and Saint Laurent, this is a ripe, smooth, perfumed wine. It has juicy red fruits laced with acidity, toast and a firm structure of fruit tannins. Give this wine at least three years to develop. Screwcap.",Grosse Reserve,90,28.0,Thermenregion,,,Roger Voss,@vossroger,Gebeshuber 2011 Grosse Reserve Red (Thermenregion),Austrian Red Blend,Gebeshuber
89022,Portugal,"Aged for 12 months in wood, this smooth, ripe wine is already rich and delicious. Its structure is well integrated into the berry fruits and acidity. It's ready to drink from 2018.",Rapariga da Quinta Colheita Seleccionada Tinto,90,16.0,Alentejano,,,Roger Voss,@vossroger,Luis Duarte 2015 Rapariga da Quinta Colheita Seleccionada Tinto Red (Alentejano),Portuguese Red,Luis Duarte
79490,Spain,"With a gold color and heavy, pithy aromas that are becoming oxidized, this is a mature, highly stylized Albariño. It's also a touch flat, with flavors of bitter citrus and nectarine pit. Overall this is more leesy and mature than vital and outwardly delicious.",Balado,86,60.0,Galicia,Rías Baixas,,Michael Schachner,@wineschach,Zarate 2010 Balado Albariño (Rías Baixas),Albariño,Zarate
18166,US,"Rose petals, violets, red cherries, plums, rhubarb and heavily peppered spices dominate the nose of this tasty wine from a little-known appellation 27 miles inland from Monterey Bay. It's softly textured upon sipping, then acidity shows up and holds through the sip, along with a stemmy tension. Fresh flavors include sour cherries and red berries.",,88,25.0,California,Paicines,Central Coast,Matt Kettmann,@mattkettmann,Donati 2012 Grenache (Paicines),Grenache,Donati
72970,Italy,"A delicious blend of Montepulciano and Sangiovese, this opens with earthy aromas of freshly turned soil, black fruit and underbrush. The palate delivers flavors of juicy plum and black cherry, all laced with tobacco, clove and nutmeg and presented in a brooding but read-to-enjoy style.",Tizzonero,88,14.0,Central Italy,Umbria,,Kerin O’Keefe,@kerinokeefe,La Carraia 2010 Tizzonero Red (Umbria),Red Blend,La Carraia
24205,US,"Venturing into the orange side of the rosé color rainbow, this Mourvèdre-based wine—with 13% Grenache—brings melon, guava, pomelo and ripening banana to the nose, followed by papaya and watermelon once sipped. It's a revealing look at the potential of the overlooked Central Coast vineyards that winemaker Ian Brand diligently seeks out, both for his personal labels and the many for which he consults.",Rosé of,90,19.0,California,San Benito County,Central Coast,Matt Kettmann,@mattkettmann,Le P'tit Paysan 2013 Rosé of Mourvèdre (San Benito County),Mourvèdre,Le P'tit Paysan
13897,US,"A special reserve from the producer's vineyard designate of Stagecoach, this wine is layered and full bodied in red licorice and generous oak. Soft, integrated tannins wrap around an herbal underscore that's further cradled in cherry and chocolate.",Stagecoach Vineyard Select Barrel Reserve,91,150.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Patland 2012 Stagecoach Vineyard Select Barrel Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Patland
69612,US,"Nuanced oak and creamy, balanced layers of lemon, pear and fig characterize this wine, which retains ample acidity and texture, bottled unfined and unfiltered. Concentrated and refined, it's distinctive for the table and the cellar.",Lucie Dutton Ranch,91,50.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Bacio Divino 2013 Lucie Dutton Ranch Chardonnay (Russian River Valley),Chardonnay,Bacio Divino
123484,US,"This rich, spicy Zinfandel defines the Dry Creek style. It's fruit-forward in briary, brambly berry and currant flavors that have hints of anise and chocolate, and is dry, with sturdy tannins and a balancing cut of acidity. Very enticing. Only 150 cases were produced, but it's worth a search.",Grist Vineyard,91,39.0,California,Dry Creek Valley,Sonoma,,,Joseph Jewell 2007 Grist Vineyard Zinfandel (Dry Creek Valley),Zinfandel,Joseph Jewell
21233,US,"A tremendous wine. Made from 100% Cabernet and raised for nearly two years in 40% new French oak, it defines the ripe, hedonistic Napa style. Yet it's no mere fruit bomb, offering a tobaccoey earthiness to the berries. A touch of raisins and heat in the finish seems to limit ageability, though, so drink up.",Silencieux,89,48.0,California,Napa Valley,Napa,,,Venge 2009 Silencieux Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Venge
97296,US,"There aren't a lot of producers making this variety in America, let alone a Zinfandel and Rhone-wine specialist, but it works on every level, the wine offering a concentration of rich apple, pear and stone fruit, the texture rounded and complex.",Steiner Vineyard,92,30.0,California,Sonoma Mountain,Sonoma,Virginie Boone,@vboone,Carlisle 2014 Steiner Vineyard Grüner Veltliner (Sonoma Mountain),Grüner Veltliner,Carlisle
115231,Italy,"Here's a bright and delicious Pecorino, with sensations of white peach, pear, tropical fruit and lemon zest. The savory palate is uplifted by a vein of energizing minerality. Pair this with pastas topped with shellfish.",,88,16.0,Central Italy,Offida Pecorino,,Kerin O’Keefe,@kerinokeefe,Saladini Pilastri 2012  Offida Pecorino,Pecorino,Saladini Pilastri
101110,Argentina,"Warm and complete, with oak-influenced char and licorice along with black fruits on the bouquet. An elegant Uco Valley specimen with refined, full-force flavors of cola, blackberry, tobacco and chocolate. Turns more complex and satisfying on the finish. Drink this high-quality value now through 2013. A blend of Malbec at 50%, with Cabernet, Petit Verdot and Syrah.",Signature Blend,92,25.0,Mendoza Province,Uco Valley,,Michael Schachner,@wineschach,Carlos Basso 2005 Signature Blend Red (Uco Valley),Red Blend,Carlos Basso
105344,Italy,"Earthy aromas of violet, mature berry, sage, tilled soil and a funky note of game lead the nose. The funky note carries over to the palate along with dried plum and white pepper. Youthfully austere tannins provide the backbone.",,90,120.0,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Lisini 2010  Brunello di Montalcino,Sangiovese,Lisini
52409,US,"This wine seems a bit locked up at present, with aromas of garden herbs, plum and spice. The flavors show more generosity, with abundant cherry flavors backed by grainy, slightly astringent tannins.",,87,13.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Waterbrook 2014 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Waterbrook
120317,US,"An interesting and flavorful blend of Bordeaux varieties and Syrah that has some real complexity. It's a dry, smoothly tannic wine, with rich berry, currant and chocolate notes. Made in the modern style of soft appeal, it's ready to drink now.",Bella's Blend,89,40.0,California,Knights Valley,Sonoma,,,Ehret 2007 Bella's Blend Red (Knights Valley),Bordeaux-style Red Blend,Ehret
42386,US,"Viognier is clearly a strong suit at Cowhorn, a biodynamic vineyard and winery in the Applegate Valley of southern Oregon. The aromatic nose is wreathed in seductive scents of flower and fruit. Flavors are a mix of citrus and stone fruits, with a taste of honey that brings added depth, but not sweetness.",,93,30.0,Oregon,Applegate Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Cowhorn 2011 Viognier (Applegate Valley),Viognier,Cowhorn
